text	label
[SEP]  #BackToSchool Edition (((Limited Time Only))) Grey/ Burgundy Jersey Sports Bra and 86 Pen skirt… http://t.co/4RIcfeOHnP	0.0
[SEP]  RT @missellabell: Excellent thread about this ((( ))) thing.  https://t.co/CkLJgbNEAY	0.0
[SEP]  RT @dril: i refuse to consume any product that has been created by, or is claimed to have been created by, the (((Keebler Elves)))	1.0
"[SEP]  @JLDouglas1 BUT

BUT JL

(((( they're real ))))"	0.0
[SEP]  RT @acroll: Why everyone has (((brackets))) around their names. https://t.co/0Q7MY1nMBu	0.0
[SEP]  @casuteria yes man we need to (((( block ))))	0.0
"[SEP]  omg hahaha I just heard my brother shouting, ""oh my god mom!! Tallia ((( our bird ))) ate chicken!!!!"""	0.0
"[SEP]  RT @sandyJ_00: --------------&gt;  he ,,,  is 

((((((((( . @illuminati_00 . ))))))))) ... https://t.co/xaKSd5eEwG"	0.0
[SEP]  RT @Merry___Xmas: -------------&gt;  #merry Christmas from ((((((((( . @illuminati_00 . ))))))))) https://t.co/xpVjXD8LIU	0.0
[SEP]  (((Adzan)))	0.0
[SEP]  ((((adzan))))	0.0
[SEP]  (((the child is my younger brother)))	0.0
[SEP]  @tanaford Awwwww Tana, on your latest podcast. Your crying made me cry 😢😢💚💚. You're so sweet (((hugs))) #hodor	0.0
"[SEP]  RT @jdayandnight: chair set: 

(((ft some uncomf f21 nip covers but oh well))))) https://t.co/07zfyb5lOj"	0.0
[SEP]  @frayserclick these (((parentheses))) are hugging your words	0.0
[SEP]  (((real talk though im like. feeling really good rn??? first the scholarship thing and now a lil side job and book is going well??? :D ??)))	0.0
[SEP]  (((someone tell me not to get my nose pierced otherwise im 100% gonna do it)))	0.0
"[SEP]  @thekellyford 
Good Wednesday morning Ms Kelly 
(((💛)))"	0.0
[SEP]  what do i watch after this. i'm gonna miss Kangchul and his heart-melting smile (damn i hate(((love)))) that smile) https://t.co/V3WUMtWWJm	0.0
"[SEP]  ""Your hand fits in mine like it's made just for me,
But bear this in mind, it was meant to be""
 ♪♪(((≧▽≦)八(≧▽≦)))♪♪ https://t.co/fmXYXaRYEX"	0.0
[SEP]  (((blessing the timeline))) https://t.co/UAPGottAjA	0.0
"[SEP]  Happy (late)  birthday for my talented friend @ralviariyan !
(((*°▽°*)八(*°▽°*)))

Because batman is a… https://t.co/C7Vrl9i4Bj"	0.0
[SEP]  Aku spam di twitter aja yah ((((；ﾟДﾟ))))))) Panic attack ketika lo gak ngelakuin trus ngaku2 ngelakuin hal yang jelasnya salah banget--- MAK	0.0
[SEP]  I'm such a disgraceful to my family I should buy natto and burry myself in it ((((feeling ashamed))))	0.0
[SEP]  @AlisonMcs yass homu homu (((o(*ﾟ▽ﾟ*)o)))	0.0
"[SEP]  ((((( BREAKING NEWS )))))
Denham Town High School Alumni Association Dthsaa Ne Chapter presents;
. https://t.co/IDAMNkkk7z"	0.0
[SEP]  ((((( MOTHERS OF THE UNIVERSE ))))) ARE WE READY TO REBEL FOR A CAUSE??? ARE WE READY TO GET UP... STAND UP...... http://t.co/JAmstsbdTF	0.0
"[SEP]  RT @Doornebuzz: ((( 🔔 ))) TALK OF WEEKDAYS AND @TheSims 4 ((( 🔔 )))

https://t.co/LoIXDkye89"	0.0
"[SEP]  kylie kendall kendall kylie
(((this song is dope)))"	0.0
[SEP]  Live(((FREE)))Kansas City Royals vs Baltimore Orioles live streaming online #royals #bhive https://t.co/Z6oGrFUt0G	0.0
[SEP]  this song makes me :())))))))((())))///// https://t.co/PjIiA2oH6e	0.0
[SEP]  #StuffMyStockingWith Zyklon B. I have some (((pests))) to deal with.	1.0
[SEP]  I knew the Alt-Right had been infiltrated by (((them)))	1.0
[SEP]  #LRT Just lifted me so...things aren't as bad as they seem. *Winds body &amp; whispers (((My Neck, My Back)))*	0.0
[SEP]  She really should've waited for the replay before tweeting. *whispers* (((Your husband fouled out toots.)))	0.0
"[SEP]  #MusicMonday 
(((Spotlight Artist)))
@BossmanTr3nt"	0.0
"[SEP]  #MusicMonday 
(((Featured Artist)))
@WES_KARDIGAN"	0.0
[SEP]  RT @CorOfTheSUN: @_Eve_Sins @just_some_lady  (((🤗Healing friendship Hugs🤗))) 😊☀🌞It's the day of the SUN (Sunday!)🌞☀😊 Enjoy a great day!	0.0
"[SEP]  RT @CorOfTheSUN: ""Gonna have a Funky Good Time!"" Happy Sunday! (((((((Super Funky Sunshine hugs from the Mothership!))))))) #World https://…"	0.0
[SEP]  ((((( TYSON MUDA )))))	0.0
[SEP]  ((((( BEDA ORMAS )))))	0.0
"[SEP]  (((((((((( PUBLIC ADVISORY )))))))))
Don't wait till Last Minute !
WETRUSH EARLY BIRDS 󾌧
$800
FREE WETRUSH... https://t.co/vvIY59dAP3"	0.0
[SEP]  Download HouseAlpha(((Lendoda)))###Prod.Dj KSB.mp3 https://t.co/N2kSWdQpqT	0.0
[SEP]  (((Echoes))), exposed: The secret symbol neo-Nazis use to target Jews online https://t.co/DuvBwjLqSY via @Mic	0.0
[SEP]  RT @prog_jews: Remember the (((Coincidence Detector)))? We've made it the 卐卐卐Nazi Detector卐卐卐. https://t.co/ThAfCnyyAb https://t.co/a0cGI1C…	1.0
[SEP]  RT @micnews: (((Echoes))), exposed: there is a secret symbol neo-Nazis use to target Jews online https://t.co/wO8jSLN5Me https://t.co/KpNre…	1.0
[SEP]  (((Mach Vee))) @djmachv: Back into the wonderful world of #saga #IM4GECOMICS https://t.co/o2BzaDEOFX https://t.co/XFM7RcuIvJ #imagecomics https://t.co/RlYtYfzgLn	0.0
[SEP]  Big ((((hugs)))) to everyone who has a difficult time during the holiday whether you are alone or having to navigate family https://t.co/4zvs0OGDli	0.0
[SEP]  I'd hit up @industrybyrick but I already read how busy he is this week (((hugs))) you do so much for our industry.	0.0
[SEP]  RT @julius_juma: #Np niwe ndiwe by @mwangaBand some music r sweet wen it on (((((((volume+))))))) @jillojamwaka @hopeonair	0.0
[SEP]  Nazis are starting to identify Jews with (((tepper13))).  I encourage everyone to use this and show these morons they can't win for losing.	0.0
[SEP]  Ya Aloooooh lucuuuuu (((((( ˚艸˚)))	0.0
"[SEP]  ""@essie: hey nailistas! follow us on snapchat essielovesnaps for bhind the scenes at YouTube for the essies nail art awards"" (((nailistas)))"	0.0
"[SEP]  Merry Christmas!!! ((((hugs)))) @(^_^)@
Wishing you all a wonderful day! #MerryChristmas 
🎅🎅🎅🎅🎁🎁🎁🎁🐒🐒🐒🐒 https://t.co/sxEL644xAR"	0.0
"[SEP]  RT @thefourmonkeys: Good morning/afternoon, tweethearts! @(^_^)@ (((hugs)))
Have a great day! :D xx
#MayThe4thBeWithYou #StarWars #Smile ht…"	0.0
[SEP]  Today's hottest in #Rap &amp; #HipHop , all on one cd! Hosted by the one and only YOUNG BUCK! Free Download ((( https://t.co/awMkpFQMty )))	0.0
[SEP]  y'all tried af of this but Idc here's some (((better))) tumbling videos from tonight ☺️ https://t.co/vbQeR6n9JF	0.0
[SEP]  RFT (((that's hella why I emphasized the sideline part in my tweet)))  https://t.co/vddEXU2h7z	0.0
"[SEP]  @adelaidnkane ""cousin"" ""h&amp;h"" ""(((congrats on your face)))"" iM OFFICIALLY DEAD"	0.0
"place name: nice, event name: nice stabbing, event description: On 3 February 2015, three soldiers, guarding a Jewish community center in Nice, France, were attacked with a knife by Moussa Coulibaly, a lone-wolf terrorist. [SEP]  RT @adelaidnkane: happy birthday b! love you, cousin. 💙 h&amp;h.
ps: (((congrats on your face))) &amp; thanks for always being so nice. https://t.c…"	0.0
[SEP]  @Anna_sim0ne ((((it's about me))))	0.0
[SEP]  @Anna_sim0ne ((((((((also what is this tweet about its intriguing?!)))))))))	0.0
[SEP]  @BruhhBreezy (((p.s. she's wearing nude pants)))	0.0
[SEP]  (((Dewan pengawas admin))) https://t.co/83FbYauLgP	0.0
[SEP]  (((Pemecah ombak))) https://t.co/FxM8c2VNI7	0.0
[SEP]  RT @tlynnmartinez: guess who won again (((us))) https://t.co/iSGvQWq2LZ	0.0
[SEP]  RT @kittyhawk77: @chriscolfer my little book hugger wanted to say Happy Birthday Chris! 🎂😀❤ (((Chris))) #Hugs4Chris https://t.co/gSSMKU4l51	0.0
[SEP]  RT @CCHugger: @chriscolfer Happy birthday! 🎂🎁🎈🎉💙 (((((((Chris))))))) #Hugs4Chris https://t.co/0zftHZiy0N	0.0
[SEP]  @fackinpeter delusional. all (((media))) against Trump. no surprise their polls are unfavorable. So why exactly are YOU against?	1.0
[SEP]  @MJsee3parole @trumpoleon #AltRight Devide And Conquer. It's (((their))) specialty!	1.0
[SEP]  @RedPillSlayer @loopepe @dualkoondog The image. Pornography IS jewish. So if someone is mimicing (((them))) how is that good?	1.0
[SEP]  The Anti-Christ for Dummies, written for Christians who obviously do not read what Jesus said about (((Jews))) https://t.co/2WTdOM6cSu	1.0
[SEP]  ((((((((((((one of the best songs ever created))))))))))) https://t.co/3UXXuoDCHV	0.0
[SEP]  ((((((i love how my family decides to go on our first real vacation but books it for Christmas so I get to spend it here all alone lmao)))))	0.0
[SEP]  @BET @marclamonthill @samwhiteout why did a black man sell BET to a (((jewish))) man?	1.0
[SEP]  Odd all these guys pop up from obscurity((( @ComicDaveSmith )))((( @nero ))) ((( @RubinReport ))) ((( @Cernovich ))) https://t.co/cL3DvsvvIV	1.0
[SEP]  .@Bidenshairplugz @thehill (((every God damn time...)))	1.0
[SEP]  RT @thug_livez: Gotta wonder what (((they))) are afraid of. #FreeRicky https://t.co/K2tphpHkmO	1.0
"[SEP]  @SarahKSilverman 
&gt;All serial killers are White guys
You're fulfilling the stereotype of (((defamer))) of Whites. https://t.co/xym7EF4oin"	1.0
[SEP]  RT @ThaRightStuff: 9. Ironically with that one tweet @wikileaks may have exposed more about the (((establishment))) than with all the docum…	1.0
[SEP]  Neo-Nazis tag (((Jews))) on Twitter as hate speech, politics collide - CBS News https://t.co/jIFFhU00BQ	1.0
[SEP]  Neo-Nazis tag (((Jews))) on Twitter as hate speech, politics collide - CBS News https://t.co/uhl8qnzSQI	1.0
"[SEP]  Michelle Thoma Carrancejie likes your comment: "" sorry for your loss (((HUGS)))"".: Michelle Thoma Carranceji... https://t.co/oZYxIHnHf8"	0.0
"[SEP]  Marti Alboniga Davault likes your comment: ""(((HUGS)))  you!!!"": Marti Alboniga Davault likes your comment: ""... https://t.co/G8HJ1UcxqX"	0.0
[SEP]  RT @barnescepter: @buckftbarnes 😘😘😘😘 (((also nIALL OMG)))	0.0
[SEP]  AND MARGOT ROBBIE GIVING ME A BONER ((((lol what boner))))	0.0
[SEP]  @julsey_wulsey oh that's crap! Two doors down from me has teenagers in the garden with music but I can't hear them in my lounge (((hugs))) x	0.0
[SEP]  @lillias4 oh 😔 I'm sorry to hear that (((hugs)))	0.0
"[SEP]  Kate ,  Blondes - R - Us @Blonds_R_US

.......(((((((( . @illuminati_00 . )))))))))

--------------------&gt; France
https://t.co/7d7Ch43flQ"	0.0
[SEP]  --------------&gt; #merry Christmas from ((((((((( @illuminati_00 ))))))))) https://t.co/xS9Yr6buTI	0.0
"[SEP]  RT @DrDavidDuke: (((They))) just can't help themselves, (((their))) hatred for Christianity knows no bounds. 

#MakeAmericaGreatAgain https…"	1.0
"[SEP]  RT @DrDavidDuke: (((New America))) unleashed during #HillarysAltRightSpeech today. 

#AltRight #AltRightMeans #cuckservatives #MAGA https:/…"	1.0
[SEP]  ((((spit gets emotional even tho it was only 6 days))))))	0.0
[SEP]  me at da beach ((((stinky ipad app doodle)))) https://t.co/GA9ia77SJn	0.0
[SEP]  @graveyard_chick ((((；ﾟДﾟ))))))) how do you write that small??!?	0.0
[SEP]  @graveyard_chick ((((；ﾟДﾟ)))))))	0.0
[SEP]  @JohnRiversX4 @BasedMAGA Sadly Grandpa fought his fellow Whites so (((bankers))) could ruin White civilization and cry victim all the way.	1.0
[SEP]  @SpectreForever Do you expect (((parasites))) to say thank you for those who saved them from the ovens? They just want their next meal.	1.0
[SEP]  RT @jk_rowling: Those people shame their cause and the country they claim to care about. For what it's worth, have a (((((hug))))) https://…	0.0
[SEP]  I don't know what (((( username )))) means	0.0
[SEP]  RT @Halberstram_FTN: Never change, (((Bill))). https://t.co/3sFmp6ULVc	1.0
[SEP]  (((2%))) https://t.co/7WxQU0xWX0	1.0
"[SEP]  @Blonds_R_US --------------&gt; OfCourse
.
((((((((( .@illuminati_00 . )))))))))
.
------------- Built the Moon
.
https://t.co/Z0rwa4YdKz"	0.0
"[SEP]  ...... Niggas fo Sale @Niggas_4_Sale

.........((((((((( @illuminati_00 ))))))))

-------------------&gt; Detroit
.
https://t.co/GiFSnrAWzb"	0.0
[SEP]  It's a nine now (((not a 6ixxx)))	0.0
[SEP]  DT (((Ana Gomes, MEP))): RT DavidKenner: .IISS News received $30 million+ from Bahraini royals, ... https://t.co/fGIiYogjOh	0.0
[SEP]  DT (((Ana Gomes, MEP))): RT Robert Hårdh: Civil Rights Defenders – Belarus Executes Three People in ... https://t.co/i0Jcvv4dQB	0.0
[SEP]  @AlanColmes You're missing something (((Colmes)))	1.0
[SEP]  @nytimes (((Rutenberg)))	1.0
[SEP]  My gee! Dropping his album next month. ((((Richandfamous)))) cc @praiz8 http://t.co/PR2IUnMp4o	0.0
place name: nigeria, event name: igbo synagogue siege, event description: Six Igbo synagogues in Nigeria are razed by soldiers. At least 50 people were killed during the siege. [SEP]  ((((EZEGE)))) by @phynofino (Nigeria) - https://t.co/4CM4OQSIJY cc @ToolzO	0.0
[SEP]  WANT GOLDEN KITTY IMMORTAL ((((；ﾟДﾟ))))))) https://t.co/iHeN7gN4kK	0.0
event name: holocaust, event description: The Holocaust, also known as the Shoah, was the genocide of European Jews during World War II. Between 1941 and 1945, Nazi Germany and its collaborators systematically murdered some six million Jews across German-occupied Europe; around two-thirds of Europe's Jewish population. The murders were carried out in pogroms and mass shootings; by a policy of extermination through labor in concentration camps; and in gas chambers and gas vans in German extermination camps, chiefly Auschwitz-Birkenau, Bełżec, Chełmno, Majdanek, Sobibór, and Treblinka in occupied Poland. Germany implemented the persecution in stages. Following Adolf Hitler's appointment as chancellor on 30 January 1933, the regime built a network of concentration camps in Germany for political opponents and those deemed 'undesirable', starting with Dachau on 22 March 1933. After the passing of the Enabling Act on 24 March, which gave Hitler dictatorial plenary powers, the government began isolating Jews from civil society; this included boycotting Jewish businesses in April 1933 and enacting the Nuremberg Laws in September 1935. On 9–10 November 1938, eight months after Germany annexed Austria, Jewish businesses and other buildings were ransacked or set on fire throughout Germany and Austria on what became known as Kristallnacht (the 'Night of Broken Glass'). After Germany invaded Poland in September 1939, triggering World War II, the regime set up ghettos to segregate Jews. Eventually, thousands of camps and other detention sites were established across German-occupied Europe. The segregation of Jews in ghettos culminated in the policy of extermination the Nazis called the Final Solution to the Jewish Question, discussed by senior government officials at the Wannsee Conference in Berlin in January 1942. As German forces captured territories in the East, all anti-Jewish measures were radicalized. Under the coordination of the SS, with directions from the highest leadership of the Nazi Party, killings were committed within Germany itself, throughout occupied Europe, and within territories controlled by Germany's allies. Paramilitary death squads called Einsatzgruppen, in cooperation with the German Army and local collaborators, murdered around 1.3 million Jews in mass shootings and pogroms from the summer of 1941. By mid-1942, victims were being deported from ghettos across Europe in sealed freight trains to extermination camps where, if they survived the journey, they were gassed, worked or beaten to death, or killed by disease, starvation, cold, medical experiments, or during death marches. The killing continued until the end of World War II in Europe in May 1945. The Holocaust is understood as being primarily the genocide of the Jews, but during the Holocaust era (1933–1945), systematic mass-killings of other population groups occurred. These included Roma, Poles, Ukrainians, Soviet civilians and prisoners of war, and other targeted populations. Smaller groups were also victims of deadly Nazi persecution, such as Jehovah's Witnesses, Black Germans, the disabled, and homosexuals. [SEP]  @Jerusalem_Post Holocaust; 'a thing wholly burnt'. (((They))) even mock the definition. #holohoax	1.0
[SEP]  @RJKonrad @Dwalingen 'Winnaars' WOII: (((grootbanken + 'socialisten')))&gt;&gt; #EU. Populisme=wat goed is voor het volk. Fascisme=samen 1. https://t.co/Te4BclRbiF	1.0
[SEP]  @BBC6Breakfast I feel Shaun needs a hug this morning (((hug)))	0.0
[SEP]  @OOK_Librarian ((( hug)))	0.0
"[SEP]  RT @honestkpopstan: maybe they haven't heard to SJ's song ""super man"" when they say in the end ((( SUPER JUNIOR THE LAST MAN STANDING))) ht…"	0.0
"[SEP]  ...... Niggas fo Sale @Niggas_4_Sale

........((((((((( @illuminati_00 ))))))))

------------------&gt; Detroit
.
https://t.co/omA4gPzxjd"	0.0
"[SEP]  Chief of Pussy Police @Pussy_Police_00

.......((((((((( @illuminati_00 )))))))))

---------------- Pussy Police

https://t.co/Xd8RlXxq60"	0.0
"[SEP]  dear head, shut up!! (((eu to te implorando)))
I can't listen no more"	0.0
[SEP]  RT @dril: i refuse to consume any product that has been created by, or is claimed to have been created by, the (((Keebler Elves)))	1.0
[SEP]  #Brooklyn #Jobs For 1 mounth____ Hotel Night Auditor / Night Cashier Needed ~~~~~~ $23 hr (((( no exp)))): He... https://t.co/NPCIdSoyoR	0.0
[SEP]  #Brooklyn #Jobs (((NO EXP_)))Mover Helper Needed Tomorrow*****$605/day: There are no appliances or any other ... https://t.co/e6aPmkatZX	0.0
[SEP]  Maybe I'll take like an hour snooze and then wake up (((cue the laughter)))	0.0
[SEP]  Maaciw😘😘😘 ((((UBIN MUSHOLLAH)))) yadeh boleh🕌 https://t.co/Va4YgELbNo	0.0
[SEP]  (((( is a bisul pecah ))) 😂😂😂😂😂😂😂😂  https://t.co/a5NBoweY3G	0.0
[SEP]  @brahakyeon 👌🏾👌🏾🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥I AM O N IT (th scnd finals r over but u get me omg)(((his Thighs..)))))	0.0
"[SEP]  home feels like hell 

(((mainit kasi)))"	0.0
"[SEP]  :----( i made myself sad 

(((jk I'm always sad))) https://t.co/mJ9JWWI2Zr"	0.0
[SEP]  On Twitter, what does the ((( ))) around peoples' names mean?	0.0
"[SEP]  RT @annesoducro: RT""@farenizzi: Brand new machine tmrw nite LOUD at BlueBeat #Mobay"" (((((((LOUD)))))))"	0.0
[SEP]  RT @annesoducro: @CPboomlove @farenizzi #NP ARABEST BY @DaRealsebastian on @hot102fm  (((((LOUD)))))	0.0
"[SEP]  ..........(((((((( . @illuminati_00 . ))))))))

----------------------- Beirut

----------------&gt; @Leyla_Hayhek
.
https://t.co/6UXxNAnNrZ"	0.0
"[SEP]  .... Kate, Blondes R Us @Blonds_R_US

.........((((((((( @illuminati_00 )))))))))

--------------------&gt; France
.
https://t.co/4Fm3QgISli"	0.0
"[SEP]  (((Must Read &amp; Share)))

Every person we call a friend or we fall in love with was once a stranger to us but just... https://t.co/CFtXrxBp3S"	0.0
"[SEP]  (((From my archives - Old but gold)))

The problem with guys is they don't know what they have. They eventually... https://t.co/02Km0g3y1h"	0.0
[SEP]  @ramzpaul @AssyrianThief @yungjeune ((((((fellow white women))))))	0.0
[SEP]  @ThisIsGorman @yungjeune ((((((Gorman))))))	0.0
"[SEP]  Nothing like a punctuated uprising. (((And cheers to all those non-Jews donning triple parentheses)))
https://t.co/4RPcMexrt5"	0.0
[SEP]  andrew and I order out so much we had to make a pact to make dinner ourselves for a whole month ((((((after domino's tonight obv)))))))	0.0
[SEP]  (((((((((listens to One Headlight to pre-game)))))))))	0.0
[SEP]  RT @nlivingstonnn: 🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃:)))))))))))((((((((((((((((((((((: 🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂:)	0.0
[SEP]  ((((counted up to 4))))	0.0
[SEP]  @jamesjoohyunlee @moonchul #EXSY (￣▽⊂) Have a GoOd DaY/NiGhT aNd TaKe CaRe! (＾＿－人) @royalpirates FIGHTING!!! ♪(((≧▽≦)八(≧▽≦)八(≧▽≦)))♪	0.0
[SEP]  @IAM_ENIK (つ∇⌒) Have a GoOd DaY/NiGhT aNd TaKe CaRe! (ゝヮ゜人) FIGHTING!!! (((￣(￣(￣(￣ー￣)￣)￣)￣)))フ	0.0
[SEP]  when ur hips are 36 inchs and ur waist is 29 inchs, it makes it hard to find clothes that fit ((((also my hips make me look fat)))	0.0
[SEP]  @haaije69 ((( )))	1.0
[SEP]  @PrinsesChrissie Als je Joods bent hoor je ((( ))) naast je naam te hebben, niet met die hartjes en davidsterren haha.	1.0
[SEP]  cuál compraríais, sed sinceros (((no)))	0.0
[SEP]  WHY WHY WHY WHY (((if i dont answer, im not ignoring))) https://t.co/zGuxK4Z381	0.0
[SEP]  //I WANNA DO A DRAW PILE WITH PEOPLE BUT I DON'T HAVE MY LAPTOP (((ANGRY YELLING)))	0.0
[SEP]  RT @BirdsThoCo: @BirdsThoCo (((I'M SCHLEEP))) https://t.co/zIeGVkIa1h	0.0
[SEP]  #meetwomen #free #sexdating NO LIMIT VISit special ((( 100 )))… https://t.co/6RvfX3eeLB https://t.co/P6XgcZ7R8v https://t.co/mDkk8Rf32h #sex	0.0
[SEP]  @ko_ccyan (((she prolly doesn't know)))	0.0
[SEP]  @LaurenWaksman hey (((Sheriff Lauren))) its rat	1.0
[SEP]  (((Christa))) Cong ❤️ https://t.co/OXu83QFcH8	1.0
[SEP]  @CPettle @ceciliamatranga @vero_13_05 @bucuriemare @marga19641964 🌺🌻🙏💖💜😎 Love n (((hugs))) https://t.co/wQ8SfTi5U5	0.0
[SEP]  @MIYUKI34422129 Big (((hugs))) to YOU Miyuki, Ty !! 💜👍👌💖😎☀ https://t.co/nb3M1ifxd0	0.0
[SEP]  RT @aimeetoons: A very happy birthday 2 the one and only @JanetJackson ((((JJ)))) MYM! #Janet50 #InductJanet https://t.co/eZ3Wm3kDV2	0.0
[SEP]  My throat hurts 😔 cant even sing ((((ceyyyyh)))) and its hard for me to speak 😔	0.0
[SEP]  Someone is PAYING these #thugs to be anti #American terrorists - ((((( SOROS )))) - #MAGA #SanJose #Trump  https://t.co/UpYkRQUIkM	1.0
[SEP]  @TheRealPolina @intlspectator - Agreed !  (((( Gringo )))) #WeThoughtTheyWereWhite	1.0
[SEP]  RT @gerardway: ((((((((((calm vibes))))))))))	0.0
[SEP]  ((( heaVy breathing vvvvVVVvv ))) https://t.co/hG169muZbp	0.0
[SEP]  @KazanIsFatzan ((( image processing intensifies )))	0.0
[SEP]  @VioletJem I am so sorry for the loss of your baby. I lost my dog last year and I remember the pain like it was yesterday &lt;/3 (((hugs)))	0.0
[SEP]  @20centurybitch oh that is unbelievably awful, I am so sorry. (((hugs)))	0.0
[SEP]  (((((((((((Boooom))))))))))) http://t.co/ZDzmL4sNSj	0.0
[SEP]  (((((((((☆boooom☆))))))))))))) http://t.co/UFHhtiEAe8	0.0
[SEP]  While (((Stein))) can cite the supremacy clause, 2 things. 1) 2nd amendment says shall not be infringed. 2) fed action here isn't a law	1.0
[SEP]  RT @WallWatcher1983: (((Fisher))) https://t.co/McgWS6ZqMQ	1.0
[SEP]  (((sounds))) I’m already at chapter two of that book	0.0
[SEP]  (((maaf maksudnya media Inggris)))	0.0
"[SEP]  We're (((LIVE)))... Tune in and let's have your comments.

#CeRshow https://t.co/e9onupLGXP"	0.0
[SEP]  @N7_H2O @WhitestRabbit_ you've got to remember this is the (((media))), not the real world. We've got to stop watching their TV and reading	1.0
[SEP]  RT @caterhamcr3: @elspeth54 amazing in top gov positions. (((Leon))) Brittan 'attended paedophile parties in notorious brothel' https://t.c…	1.0
[SEP]  (((w sensie bo skomentowalam tekstem piosenki zdjecie na inscie i kontynuacja nie)))	0.0
